Reference;Reference Year
NSW Department of Primary Industries and Regional Development (2026). Bamboo Leaf Roller.;2026
Fjellstad, B. (2006). Aus-lep. Your guide to the Australian butterflies  moths with a special focus on Australian hawkmoths.Ctenoplusia limbirena.;2006
Bras, A. et al. (2022). The fast invasion of Europe by the box tree moth: an additional example coupling multiple introduction events, bridgehead effects and admixture events. Biological Invasions. 24: 3865-3883;2022
Kazilas, C. et al. (2021). Utilization of citizen science data to monitor alien species: the box tree moth Cydalima perspectalis (Walker, 1859) (Lepidoptera: Crambidae) invades natural vegetation in Greece. BioInvasions Records. 10(4): 1032-1044;2021
Raineri, V. et al. (2017). Cydalima perspectalis (Walker, 1859) (Lepidoptera, Crambidae) and the threats for the Nature 2000 habitat 5110 in Liguria (NW Italy). Bollettino dei Musei e Degli Istituti Biologici della Universita di Genova. 79: 215-236;2017
Koren, T., Crne, M. (2012). The first record of the box tree moth, Cydalima perspectalis (Walker, 1859) (Lepidoptera, Crambidae) in Croatia. Natura Croatica. 21: 507-510;2012
Bella, S. (2013). The Box tree moth Cydalima perspectalis (Walker, 1859) continues to spread in Southern Europe: new records for Italy (Lepidoptera Pyraloidea Crambidae). Redia. 96: 51-55;2013
Molfini, M. et al. (2020). A preliminary prioritized list of Italian alien terrestrial invertebrate species. Biological Invasions. 22: 2385-2399;2020
van der Straten, M., Muus, T. (2010). The box tree pyralid, Glyphodes perspectalis (Lepidoptera: Crambidae), an invasive alien moth ruining box tree. Proceedings of the Netherlands Entomological Society. 21: 107-111;2010
Safian, S., Horvath, B. (2011). Box Tree Moth - Cydalima perspectalis (Walker, 1859), new member in the Lepidoptera fauna of Hungary (Lepidoptera: Crambidae). Natura Somogyiensis. 19: 245-246;2011
Badano, D. et al. (2019). Destruction of a protected habitat by an invasive alien species: the case of Cydalima perspectalis (Walker, 1859) in the box tree formations of Liguria (North-West Italy) (Lepidoptera: Crambidae). SHILAP Revista de Lepidopterologia. 47(185): 87-95;2019
Bury, J. et al. (2019). First records of the invasive box tree moth Cydalima perspectalis (Walker, 1859) (Lepidoptera: Crambidae) in south-eastern Poland. Fragmenta Faunistica. 60(2): 101-106;2019
Hizal, E. (2012). Two Invasive Alien Insect Species, Leptoglossus occidentals (Heteroptera: Coreidae) and Cydalima perspectalis (Lepidoptera: Crambidae), and their Distribution and Host Plants in Istanbul Province, Turkey. Florida Entomologist. 95(2): 344-349;2012
Hizal, E. et al. (2012). The New Pest Cydalima perspectalis (Walker, 1859) (Lepidoptera: Crambidae) in Turkey. Journal of Animal and Veterinary Advances. 1(3): 400-403;2012
Farahani, S. et al. (2021). Life Cycle of Cydalima perspectalis (Walker, 1859) (Lepidoptera: Crambidae), an Invasive Exotic Pest in Hyrcanian Forests of Iran. Journal of Agricultural Science and Technology. 23(2): 361-370;2021
Haddad, K. et al. (2020). On track to becoming a cosmopolitan invasive species: First record of the box tree moth Cydalima perspectalis (Lepidoptera: Crambidae) in the African continent. Entomologia Hellenica. 29: 27-32;2020
Geci, D. et al. (2020). New records of Cydalima perspectalis (Walker, 1859)(Lepidoptera, Crambidae) from Albania and Kosovo. Natura Croatica: Periodicum Musei Historiae Naturalis Croatici. 29(1): 135-138;2020
Invasive Species Center (2024). Invasive Species - Meet the Species.;2024
Matosevic, D. (2013). Box tree moth (Cydalima perspectalis, Lepidoptera, Crambidae), new invasive insect pest in Croatia. South-east European forestry: SEEFOR. 4(2): 89-94;2013
European and Mediterranean Plant Protection Organization (EPPO) (1991). First record of Cydia molesta in South Africa. EPPO Reporting Service. 03 - 1991: 1991/10;1991
Chen, X. et al. (2022). Factors affecting the geographical distribution of invasive species in China. Journal of Integrative Agriculture. 21(4): 1116-1125;2022
Men, Q. et al. (2013). Genetic structure and diversity of a newly invasive species, the codling moth, Cydia pomonella (L.) (Lepidoptera: Tortricidae) in China. Biological Invasions. 15: 447-458;2013
Zhu, H. et al. (2017). Codling Moth (Lepidoptera: Tortricidae) Establishment in China: Stages of Invasion and Potential Future Distribution. Journal of Insect Science. 17(4): 85;2017
Xu, J. et al. (2012). Growth and patterns of population decline in Cydia pomonella adults in Gansu, Xinjiang and Inner Mongolia. Chinese Journal of Applied Entomology. 49: 89-95;2012
Li, Y. et al. (2015). Mitochondrial DNA revealed the extent of genetic diversity and invasion origin of populations from two separate invaded areas of a newly invasive pest, Cydia pomonella (L.) (Lepidoptera: Tortricidae) in China. Bulletin of Entomological Research. 105(4): 485-496;2015
Artigas, J. (1994). Entomologia Economica. Insectos de Interes Agricola, Forestal, Medico y Veterinario (nativos, introducidos y susceptibles de ser introducidos) vol II. Universidad de Concepcion. Concepcion, Chile. 943pp;1994
Aguin-Pombo, D. et al. (2008). Large infestation of chestnuts by Cydia moths in Madeira Island: monitorization of Cydia splendana populations with pheromone lures. Acta Horticulturae, 784, 175.;2008
Borges, P. et al. (2005). List of arthropods (Arthropoda). Direcção Regional de Ambiente e Universidade dos Açores.;2005
Dean, C. et al. (2022). Genetic Structure and Colonization of North America by Depressaria depressana (Fabricius 1775) (Lepidoptera: Depressariidae) over 15 Years Contrasts with Westward Expansion of Depressaria radiella (Goeze, 1783) over 160 Years. Insects. 13(9): 789;2022
Ksentini, I. et al. (2011). First report on Virachola livia Klug. (Lepidoptera: Lycaenidae) and its effects on different pomegranate varieties in Tunisia. Bulletin OEPP/EPPO Bulletin. 41: 178-182;2011
Zhao, Q. et al. (2022). Potential distribution of Diatraea saccharalis in China based on MaxEnt model. Plant Quarantine. 36(1): 77-82;2022
Muus, T. (2015). Nieuwe en interessante Tineidae in Nederland en Belgie. Franje, 18(35), 21-28.;2015
Fox, R. et al. (2019). A review of the status of the macro-moths of Great Britain Butterfly Conservation report to Natural England, 2019. Butterfly Conservation Report No. S19-17. Butterfly Conservation, Wareham;2019
Zawadneak, M. et al. (2016). First record of Duponchelia fovealis (Lepidoptera: Crambidae) in South America. Idesia. 34(3): 91-95;2016
Plant Health Risk Assessment Unit - Canadian Food Inspection Agency (2005). Pest Risk Assessment: Duponchelia fovealis. PHPD Request: 2005-07;2005
Molnar, P. et al. (2018). Identification of the Female-Produced Sex Pheromone of an Invasive Greenhouse Pest, the European Pepper Moth (Duponchelia fovealis). Journal of Chemical Ecology. 44: 257-267;2018
Efil, L. et al. (2014). A new pest, Duponchelia fovealis Zeller, on strawberries in Turkey: damage, distribution and parasitoid. Journal of Entomology and Zoology Studies, 2(4), 328-334.;2014
Nunes, J. et al. (2025). Earias roseifera Butler, 1881 (Nolidae: Chloephorinae), a new adventive species in mainland Portugal. Artimelia. 1: 85-87;2025
Fernandez, A. et al. (2024). Primera cita de Earias roseifera Butler, 1881 (Lepidoptera: Noctuoidea: Nolidae) para la Peninsula Iberica. Arquivos Entomoloxicos. 30: 241-244;2024
Day, M. et al. (1998). The life history and host range of Ectagagarcia, a biological control agent for Lantana camra and L. montevidensis in Australia. BioControl. 43(3): 325-338;1998
Tanigoshi, L., Stary, P. (2003). Hymenopterous parasitoids of the cherry bark tortrix, Enarmonia formosana (Scopoli) in central_east Europe (Hymenoptera, Ichneumonoidea, Lepidoptera, Tortricidae). Anzeiger fur Schadlingskunde. 76(4): 100-102;2003
Tanigoshi, L., Stary, P. (2003). Distribution, habitats and host plants of the cherry bark tortrix, Enarmonia formosana (Scopoli) in the Czech Republic (Lepidoptera, Tortricidae). Journal of Pest Science. 76: 41-43;2003
Suckling, D., Brockerhoff, E. (2010). Invasion Biology, Ecology, and Management of the Light Brown Apple Moth (Tortricidae). Annual Review of Entomology. 55: 285-306;2010
Brown, J. et al. (2010). Biology, Identification, and History of the Light Brown Apple Moth, Epiphyas postvittana (Walker) (Lepidoptera: Tortricidae: Archipini) in California: An Example of the Importance of Local Faunal Surveys to Document the Establishment of Exotic Insects. American Entomologist. 56(1): 34-43;2010
Meyrick, E. (1937). Tortrix postvittana Walk (Microlepidoptera), a species new to Britain. Entomologist. 70: 256;1937
Bond, K. (1998). Epiphyas postvittana, new to Ireland. Entomologists Record and Journal of Variation. 110: 250;1998
Naik, S. et al. (2016). Incidence of invasive Banana skipper,Erionota torus evans (Lepidoptera:Hesperiidae) in Karnataka. The Bioscan. 11(4): 2117-2120;2016
McFadyen, R., Marohasy, J. (1990). A leaf feeding moth, Euclasta whalleyi [Lep.: Pyralidae] for the biological control of Cryptostegia grandiflora [Asclepiadaceae] in Queensland, Australia. Entomophaga. 35: 431-435;1990
Gibson, L. (1993). Additional North American Records of Ecosmomorpha albersana (Tortricidae: Enarmoniini). Journal of the Lepidopterists Society. 47(4): 322-323;1993
Elkinton, J. et al. (2008). Factors Influencing Larval Survival of the Invasive Browntail Moth (Lepidoptera: Lymantriidae) in Relict North American Populations. Environmental Entomology. 37(6): 1429-1437;2008
Hussain, B. et al. (2019). First record of a nucleopolyhedrovirus infecting brown-tail moth larvae, Euproctis chrysorrhoea (L.) (Lepidoptera: Lymantriidae) in India. Egyptian Journal of Biological Pest Control. 29: 11;2019
Krushelnycky, P. et al. (2018). Performance of the biocontrol agent Secusio extensa (Lepidoptera: Erebidae) on its target host, Senecio madagascariensis (Madagascar fireweed), on an alternate host, Delairea odorata (Cape ivy), and on non-target plants, in Hawaii. Biological Control. 121: 234-246;2018
Ramadan, M. et al. (2023). Double impact of a weed biocontrol agent in Hawaii: Secusio extensa (Lepidoptera: Erebidae) releases for fireweed Senecio madagascariensis outspreads naturally to Cape ivy Delairea odorata. Conference: XVI International Symposium on Biological Control of Weeds May 7-12 2023 Puerto Iguazu, Argentina;2023
Beaumont, H. (2018). The occurrence of Garella musculana (Erschov, 1874) (Lep.: Nolidae) in eastern Bulgaria. Entomologists Records and Journal of Variation. 130: 315-316;2018
Bostanci, C. et al. (2021). First report of walnut (Juglans regia) pest Garella musculana in Romania. EPPO Bulletin. 51: 293-295;2021
Poltavsky, A., Ilyina, E. (2017). New Finds of Alien Lepidoptera Species in Dagestan. Russian Journal of Biological Invasions. 8(4): 347-350;2017
Poltavsky, A., Ilyina, E. (2017). Glyphodes pyloalis Walker, 1859 (Lepidoptera, Crambidae)‚ a New Species of Tropical Snout-Moth for the Fauna of Dagestan. Russian Journal of Biological Invasions. 8(1): 101-103;2017
Kirk, H. et al. (2013). Worldwide population genetic structure of the oriental fruit moth (Grapholita molesta), a globally invasive pest. BMC Ecology. 13: 12;2013
Reis Fo, W. et al. (1987). Population dynamics of Grapholita molesta, Busk, 1916, and its adaptation on apple in south Brazil. IISHS Acta Horticulturae. 232: 204-208;1987
Bailey, P. (1980). An Attempt to Control Oriental Fruit Moth, Cydia molesta Busck. By Mass Releases of Macrocentrus ancylivorus Rohwer (Hymenoptera: Braconidae). Australian Journal of Entomology. 18: 211-212;1980
Ren, J. et al. (2020). Preliminary Investigation Report on the Species of Fruit Borers in Orchards Along the Hexi Corridor in Gansu Province (_________________).;2020
Ren, J. et al. (2020). Preliminary Investigation Report on the Species of Fruit Borers in Orchards Along the Hexi Corridor in Gansu Province (Chinese Reference);2020
Lafontaine, J., Schmidt, B. (2010). Annotated check list of the Noctuoidea (Insecta, Lepidoptera) of North America north of Mexico. ZooKeys. 40: 1-239;2010
Paynter, Q. et al. (2020). Leaf heteroblasty explains unexpected spillover non-target attack on T Passiflora edulis by Heliconius erato cyrbia, a biological control agent for Passiflora rubra, in Rarotonga. Biological Control. 141: 104132;2020
Sosa-Gomez, D. et al. (2016). Timeline and geographical distribution of Helicoverpa armigera (Hubner) (Lepidoptera, Noctuidae: Heliothinae) in Brazil. Revista Brasileira de Entomologia. 60: 101-104;2016
Goncalves, R. et al. (2019). Invasion origin, rapid population expansion, and the lack of genetic structure of cotton bollworm (Helicoverpa armigera) in the Americas. Ecology and Evolution. 9: 7378-7401;2019
Queiroz-Santos, L. et al. (2018). Morphological Characterization of Helicoverpa armigera (Hobner) (Lepidoptera: Noctuidae: Heliothinae). Neotropical Entomology. 47: 517-542;2018
Balbi, E. et al. (2020). Evidence for multiple maternal lineages of the invasive pest Helicoverpa armigera in Argentina. Phytoparasitica. 48: 407-413;2020
Kriticos, D. et al. (2015). The Potential Distribution of Invading Helicoverpa armigera in North America: Is It Just a Matter of Time?. PLoS One. 10(3): e0119618;2015
Chu, S. et al. (2019). Host Range of Herpetogramma basalis (Lepidoptera: Crambidae), a Biological Control Agent for the Invasive Weed Alternanthera philoxeroides (Centrospermae: Amaranthaceae) in China. Journal of Insect Science. 19(6): 1-7;2019
Ramadan, M. et al. (2023). Insect and weed biological control in Hawaii: Recent case studies and trends. Biological Control. 179: 105170;2023
Faraco, L. et al. (2019). Infestation of Mangroves by the Invasive Moth Hyblaea puera (Cramer, 1777) (Lepidoptera: Hyblaeidae). Brazilian Archives of Biology and Technology. 62: e19170516;2019
Freires, J. et al. (2023). Estimation of the extent of defoliation in Avicennia L. (Acanthaceae) caused by caterpillars of Hyblaea puera (Cramer, 1777) in a tropical mangrove. Regional Studies in Marine Science. 68: 103240;2023
Casagrande, R. et al. (2011). A petition for experimental open-field release of Hypena opulenta a potential biological control agent of swallow-worts (Vincetoxicum nigrum and V. rossicum) in North America. Appendix E, pp. 172. In Mason P. et al. (2017). Guide for the first-time importation and release of arthropod biological control agents in Canada. Agriculture and Agri-Food, Canada;2011
European and Mediterranean Plant Protection Organization (EPPO) (1978). Official List of Dangerous Pests to Tunisia. EPPO Reporting Service. 01 - 1978: 1978/05;1978
Cao, L. et al. (2016). Rapid genetic structuring of populations of the invasive fall webworm in relation to spatial expansion and control campaigns. Diversity and Distributions. 22: 1276-1287;2016
Warren, L., Tadic, M. (1970). Fall web worm, Hyphantria cunea (Drury). Arkansas Agricultural Experimental Station Bulletin. 759: 1-106;1970
Xu, X. et al. (2015). Cold hardiness characteristic of the overwintering pupae of fall webworm Hyphantria cunea (Drury) (Lepidoptera: Arctiidae) in the northeast of China. Journal of Asia-Pacific Entomology. 18: 39-45;2015
Ning, J. et al. (2022). American fall webworm in China: A new case of global biological invasions. The Innovation. 3(1): 100201;2022
Ito, Y., Miyashita, K. (1968). Biology of Hyphantria cunea Drury (Lepidoptera: Aarctiidae) in Japan. V. Preliminary Life Tables and Mortality Data in Urban Areas. Researches on Population Ecology. X: 177-209;1968
European and Mediterranean Plant Protection Organization (EPPO) (1978). New record of Hyphantria cunea in Greece. EPPO Reporting Service. 1980/01;1978
European and Mediterranean Plant Protection Organization (EPPO) (1977). Report of Hypantria cunea D. in France. EPPO Reporting Service. 01 - 1977: 1977/06;1977
European and Mediterranean Plant Protection Organization (EPPO) (1988). Hyphantria cunea in Italy. EPPO Reporting Service. 03 - 1988: 1988/05;1988
Yuksel, E. et al. (2022). Insecticidal activities of the local entomopathogenic nematodes and cell-free supernatants from their symbiotic bacteria against the larvae of fall webworm, Hyphantria cunea. Experimental Parasitology. 242: 108380;2022
Hong, K. et al. (2012). The status quo of invasive alien insect species and plant quarantine in Korea. Journal of Asia-Pacific Entomology. 15: 521-532;2012
Karami, A. et al. (2022). Native parasitoids of the fall webworm, Hyphantria cunea (Drury, 1773) (Lepidoptera, Erebidae), an invasive alien pest in northern Iran. Journal of Insect Biodiversity and Systematics. 09(1): 81-101;2022
Jae-Young, L. et al. (2023). New Record of a Hepialid Moth Species, Korscheltellus lupulina (Lepidoptera: Hepialidae) from Korea. Animal Systematics, Evolution and Diversity. 39(4): 322-324.;2023
Bella, S., Aguiar, A. (2020). Non-native insect pests from the Madeira Archipelago (Portugal): new records and further data (Insecta: Orthoptera, Hymenoptera). Fragmenta entomologica. 52 (2): 369-376;2020
Richardson, C. (1977). Notes on some insects intercepted entering New Zealand in 1975. New Zealand Entomologist. 6(3): 309-311;1977
Wallner, W. (1989). Overview of Pest Lymantriidae of North America. Proceedings: Lymantriidae: a Comparison of Features of New and Old World Tussock Moths. 65-80;1989
Sandoval, A. et al. (2019). Deteccion de Leucoptera sinuella (Reutti) (Lepidoptera: Lyonetiidae) en Chile, con la identificacion de algunos parasitoides asociados. Revista Chilena de Entomologia. 45: 65-77;2019
Yang. T. et al. (2025). Genetic structure and global distribution patterns of the European grapevine moth under climate change. Entomologia Generalis. 45(6): 1795-1803;2025
Fric, Z. et al. (2014). First record of the cycad blue, Chilades pandava, in Egypt - a new invasive butterfly species in the Mediterranean region and on the African continent (Lepidoptera: Lycaenidae). African Entomology. 22(2): 315-319;2014
Tang, Y. et al. (2025). Control Effect of Biopesticides on Cycas szechuanensis. Journal of Anhui Agricultural Sciences. 53(15): 106;2025
Government of Canada (2015). Forest Invasive Alien Species - Established species;2015
Jankovic, M., Petrovskii, S. (2013). Gypsy moth invasion in North America: A simulation study of the spatial pattern and the rate of spread. Ecological Complexity. 14: 132-144;2013
Tobin, P. et al. (2012). The ecology, geopolitics, and economics of managing Lymantria dispar in the United States. International Journal of Pest Management. 58(3): 195-210;2012
Tobin, P., Blackburn, L. (2008). Long-Distance Dispersal of the Gypsy Moth (Lepidoptera: Lymantriidae) Facilitated Its Initial Invasion of Wisconsin. Environmental Entomology. 37(1): 87-93;2008
Australian Government Department of Agriculture, Water and Environment (2024). National Priority List of Exotic Environmental Pests, Weeds and Diseases Dataset (Public Summary Version 1.0);2024
Sun, Y. et al. (2026). Identification of the CTL Gene Family in Lymantria dispar and Its Impact on Antifungal Capabilities.;2026
Ba, N. et al. (2019). The legume pod borer, Maruca vitrata Fabricius (Lepidoptera: Crambidae), an important insect pest of cowpea: a review emphasizing West Africa. International Journal of Tropical Insect Science. 39: 93-106;2019
Bella, S., Ferrauto, G. (2005). Presence of Megalorhipida leucodactyla (Lepidoptera Pterophoridae) in Sicily: new report for the Italian fauna and notes on the diffusion of its host plant Boerhavia repens L. ssp. viscosa (Choisy) Maire (Nyctaginaceae). Biological Invasions. 7: 577-587;2005
Donn, A. (1926). The Campaign against Prickly-Pear in Australia. Nature. 117: 625-626;1926
Tavares, J. (1992). A importância económica da lagarta-das-pastagens Mythimna unipuncta (Haworth)(Lep., Noctuidae). Acoreana, 7(3): 407-414;1992
Urra, F., Valenzuela, G. (2017). Presencia de Nemapogon variatella (Clemens) (Lepidoptera: Tineidae) em hongos comestibles en la Region del Maule, Chile. Biodiversity and Natural History. 3(1): 34-3.;2017
Haseler, W. (1966). The Status of Insects Introduced for the Biological Control of Weeds in Queensland. Australian Journal of Entomology. 5(1): 1-4;1966
Boughton, A., Pemberton, R. (2009). Establishment of an imported natural enemy, Neomusotima conspurcatalis (Lepidoptera: Crambidae) against an invasive weed, Old World climbing fern, Lygodium microphyllum, in Florida. Biocontrol Science and Technology. 19(7): 769-772;2009
Oke, O. et al. (2012). Establishment of the moth: Niphograpta albiguttalis (Warner) (Lepidoptera: Pyralidae), a biological control agent of water hyacinth (Eichhornia crassipes) in waterways of Lagos and Ogun states, southwestern Nigeria. International Journal of Environmental Studies. 69(3): 501-506;2012
Harris, P. (1958). Life-History and Natural Control in British Columbia of Ocnerostoma piniariella Zell.(Lepidoptera: Yponomeutidae), a Needle Miner on White Pine. The Canadian Entomologist. 90(10): 627-631;1958
Griffin, B. et al. (2020). The Reliability of Genitalia Morphology to Monitor the Spread of the Invasive Winter Moth (Lepidoptera: Geometridae) in Eastern North America. Environmental Entomology. 49(6): 1492-1498;2020
Broadley, H. et al. (2018). Identification and impact of hyperparasitoids and predators affecting Cyzenis albicans (Tachinidae), a recently introduced biological control agent of winter moth (Operophtera brumata L.) in the northeastern U.S.A. Biological Control. 121: 99-108;2018
Elkinton, J. et al. (2010). Survey for winter moth (Lepidoptera: Geometridae) in northeastern North America with pheromone-baited traps and hybridization with the native Bruce spanworm (Lepidoptera: Geometridae). Annals of the Entomological Society of America. 103: 135-145;2010
Kimberling, D. et al. (1986). Distribution and parasitism of winter moth, Operophtera-brumata (Lepidoptera, Geometridae), in western Oregon. Environmental Entomology. 15: 1042-1046;1986
Lu, B. et al. (2016). Life table analysis under constant temperature for Opisina arenosella (Lepidoptera: Xyloryctidae), an invasive moth of palm plants. Austral Entomology. 55: 334-339;2016
Jin, T. et al. (2018). Design and selection of an artificial diet for the coconut black-headed caterpillar, Opisina arenosella, based on orthogonal array analysis. Journal of Integrative Agriculture. 17(12): 2758-2757;2018
Davis, D., Pena, J. (1990). Biology and Morphology of the Banana Moth, Opogona sacchari (Bojer), and its Introduction into Florida (Lepidoptera: Tineidae). Proceedings of the Entomological Society of Washington. 92(4): 593-618;1990
European and Mediterranean Plant Protection Organization (EPPO) (1987). Status of Opogona sacchari in EPPO region. EPPO Reporting Service. 16: 1987/01;1987
Nnzeru, L. et al. (2021). Pest interceptions on imported fresh fruits into South Africa. International Journal of Tropical Insect Science. 41: 3075-3086;2021
Vargo, A. et al. (1993). The success of natural enemies in controlling introduced pests in American Samoa. Micronesica. 4: 69-77;1993
Matsumoto, K. (2002). Papilio demoleus (Papilionidae) in Borneo and Bali. Journal of the Lepidopterists Society. 56(2): 108-111;2002
Guerrero, K. et al. (2004). First New World documentation of an Old World citrus pest, the Lime Swallowtail Papilio demoleus (Lepidoptera: Papilionidae), in the Dominican Republic (Hispaniola). Ammerican Entomologist. 50(4): 227-229;2004
Matsumoto, K., Noerdjito, A. (1996) Establishment of Papilio demoleus L. (Papilionidae) in Java. Journal of the Lepidopterists Society. 50: 139-140;1996
Kolosova, Y., Bolotov, I. (2020). Recent invasion of the Lime Swallowtail Papilio demoleus (Lepidoptera: Papilionidae) to Seychelles. Ecologica Montenegrina. 28: 31-39;2020
Morgun, D., Wiemers, M. (2012). First record of the lime swallowtail Papilio demoleus Linneaus, 1758 (Lepidoptera, Papilionidae) in Europe. Journal of Research on the Lepidoptera. 45: 85-89;2012
Garraway, E. et al. (2009). Papilio demoleus (the lime swallowtail) (Lepidoptera: Papilionidae), a potential pest of citrus, expanding its range in the Caribbean. Tropical Lepidoptera Research. 19: 58-59;2009
Homziak, M., Homziak, J. (2006). Papilio demoleus (Lepidoptera: Papilionidae): a new record for the United States, Commonwealth of Puerto Rico. Florida Entomologist. 89(4): 485-488;2006
Fernandez-Hernandez, D., Minno, M. (2017). The slowly expanding range of Papilio demoleus Linnaeus (Lepidoptera: Papilionidae) in Cuba. Tropical Lepidoptera Research. 25(1): 8-14;2017
Kocak, A. et al. (2006). A new genus and species to the Lepidoptera Fauna of Turkey and Syria (Papilionidae). Centre for Entomological Studies Ankara - Miscellaneous Papers. 97: 1-6;2006
Merit, X. et al. (2009). Papilio demoleus [Linnaeus, 1758] - Une expansion mondiale (Lepidoptera: Papilionidae). Lepidopteres-Revue des Lepidopteristes de France. 18: 44-47;2009
Benyamini, D. et al. (2007). First confirmed records of Papilio demoleus (Linnaeus 1758) in Syria, with comments on the species appearance in Turkey and the Dominican Republic. News of the Israeli Lepidopterists Society. 24(2), 4-11;2007
Whitebread, S. (1990). Phyllonorycter robiniella (Clemens, 1859) in Europe (Lepidoptera, Gracillariidae). Nota Lepiderologica. 12(4): 344-353;1990
Ivinskis, P., Rimsaite, J. (2008). Phaneroptera falcate (Poda, 1761) (Orthoptera, Phaneropteridae) in Lithuania. Acta Zoologica Lituanica. 18(4): 270-272;2008
Uyi, O. et al. (2016). Temperature-dependent performance and potential distribution of Pareuchaetes insulata, a biological control agent of Chromolaena odorata in South Africa. BioControl. 61: 815-825;2016
Raman, A. et al. (2006). Induced-defense responses in the leaves of Chromolaena odorata consequent to infestation by Pareuchaetes pseudoinsulata (Lepidoptera: Arctiidae). Journal of Plant Diseases and Protection. 113(5): 234-239;2006
Cerny, K. (2011). A Review of the subfamily Arctiinae (Lepidoptera: Arctiidae) from the Philippines. Entomofauna. 32(3): 29-92;2011
Cock, M. et al. (2023). Citizen science to monitor the establishment and spread of a biological control agent: the case of Pareuchaetes pseudoinsulata (Lepidoptera, Erebidae) for the control of Chromolaena odorata (Asteraceae) in South and South-East Asia. CABI Agriculture and Bioscience. 4: 25;2023
Muniappan, R. et al. (2005). Distribution and biological control of Chromolaena odorata. In: Inderjit, S. (ed.), Invasive Plants: Ecological and Agricultural Aspects, pp. 223-233. Birkhauser Verlag, Basel, Switzerland;2005
Uyi, O. et al. (2011). Discovery of, and studies on, Pareuchaetes pseudoinsulata (Lepidoptera: Arctiidae) in southern Nigeria. International Journal of Tropical Insect Science. 31(3): 199-203;2011
Timbilla, J., Braimh, H. (2000). Establishment, Spread and Impact of Pareuchaetes pseudoinsulata (Lepidoptera: Arctiidae) an Exotic Predator of the Siam Weed, Chromolaena Odorata (Asteraceae: Eupatoriae) in Ghana. Proceedings of the X International Symposium on Biological Control of Weeds. 105-111;2000
Munoz-Adalia, E., Colinas, C. (2020). The invasive moth Paysandisia archon in Europe: Biology and control options. Journal of Applied Entomology. 144: 341-350;2020
Bombi, P. (2020). Potential conflict extent between two invasive alien pests, Rhynchophorus ferrugineus and Paysandisia archon, and the native populations of the Mediterranean fan palm. Journal for Nature Conservation. 58: 125927;2020
Mori, E. et al. (2023). Invasions by the palm borer moth Paysandisia archon in Italy and assessment of its trophic spectrum. Biological Invasions. 25: 1373-1386;2023
Alario S. (2004). Paysandisia archon (Burmeister, 1880) (Lepidoptera, Castniidae), nuevas localizaciones en la Peninsula Iberica y su gestion. Boletin Sociedad Entomologica Aragonesa. 34: 237-246;2004
Safian, S. et al. (2023). First report of the palm borer moth, Paysandisia archon (Burmeister, 1879), in Hungary (Lepidoptera: Castniidae). Folia Entomologica Hungarica. 84: 137-143;2023
Secretary of Agriculture of United States of America (2018). Erradication of Pinkball Moth - A Procalmation;2018
Lance, D. et al. (2016). Mating Disruption as a Suppression Tactic in Programs Targeting Regulated Lepidopteran Pests in US. Journal of Chemical Ecology. 42: 590-605;2016
Ministerio del Ambiente - Peru (2020). Plan de Accion Nacional sobre las Especies Exoticas Invasoras en Peru 2021-2025;2020
Howarth, F., Medeiros, M. (2020). Hawaiian Lava Tube Cave Associated Lepidoptera from the Collections of Francis G. Howarth and Fred D. Stone. Bishop Museum Occasional Papers, 129: 37–54;2020
Chidege, M. et al. (2017). Tomato leaf miner, Tuta absoluta (Meyrick)(Lepidoptera: Gelechiidae) detected in namibe province Angola. Journal of Applied Life Sciences International. 12(4): 1-5;2017
European and Mediterranean Plant Protection Organization (EPPO) (1975). Phthorimaea openculella intercepted in Hungary. EPPO Reporting Service. 01 - 1975: 1975/06;1975
Medina, R. et al. (2010). Population Structure of Phthorimaea operculella (Lepidoptera: Gelechiidae) in the United States. Environmental Entomology. 39(3):1037-1042;2010
Maharjan, R., Jung, C. (2011). Rearing methods of potato tuber moth, Phthorimaea oper- culella (Zeller) (Lepidoptera: Gelechiidae). Korean Journal of Soil Zoology. 15: 53-57;2011
Heppner, J. (1993). Citrus leafminer, Phyllocnistis citrella, in Florida (Lepidoptera: Gracillariidae: Phyllocnistinae). Tropical Lepididoptera. 4: 49-64;1993
Ayoub, M. (1960). Phyllocnistis citrella Stainton, a main citrus pest in Saudi Arabia. Bulletin de la Societe entomologique dEgypte (Cairo). 44: 387-391;1960
Ba-Angood, S. (1978). On the biology and food preference of the Citrus leaf miner, Phyllocnistis citrella Stainton (Gracilariidae, Lepidoptera) in PDR of Yemen. Journal of Applied Entomology. 86(1-4): 53-57;1978
Kamburov, S. (1986). New pests and beneficial insects on citrus in South Africa - Part I. Citrus and Subtropical Fruit Journal. 625: 6-7;1986
Badawy, A. (1967). The morphology and biology of Phyllocnistis citrella Stainton., a citrus leaf-miner in the Sudan. Bulletin de la Societe entomologique dEgypte (Cairo). 51: 95-103;1967
Hoy, M., Nguyen, R. (1997). Classical Biological Control of the Citrus Leafminer Phyllocnistis citrella Stainton (Lepidoptera: Gracillaridae): Theory, Practice, Art and Science. Tropical Lepidoptera. 8(1): 1-19;1997
Heppner, J. (1993). Citrus Leafminer, Phyllocnistis citrella, Stainton (Lepidoptera: Gracillariidae: Phyllocnistinae). Pest Alert - Florida Department of Agriculture and Consumer Services, Division of Plant Industry. DACS-P-01669;1993
